model,variant,phase,n,overall_R2,overall_RMSE,pm1_R2,pm1_RMSE,pm2_5_R2,pm2_5_RMSE,pm10_R2,pm10_RMSE,co2_R2,co2_RMSE,voc_R2,voc_RMSE
LSTM_uni,without_Ct,Phase 1,33,0.9925130605697632,85.65486192326593,-1.9397063255310059,1.2491137223648399,-2.348273754119873,1.502258111077039,-0.5075912475585938,2.0822778952904755,0.17349976301193237,190.75485331309397,-1.0014491081237793,16.976817761541582
LSTM_uni,without_Ct,Phase 2,89,0.9686157703399658,136.2564935379228,-0.05298447608947754,1.463600709568132,-0.057781219482421875,2.210130524038925,-0.15360403060913086,3.31035342931315,-0.28470325469970703,303.1053215261982,-3.367197036743164,30.632230691363407
LSTM_uni,without_Ct,Phase 3,60,0.9847607612609863,80.04088005806003,-2.03517746925354,0.588656208966436,-1.2722570896148682,0.8626496088497465,-0.6836352348327637,1.0950444327445135,-5.611880779266357,126.99242180269066,0.2636135220527649,126.10847575103745
LSTM_uni,without_Ct,Phase 4,100,0.9506521821022034,114.73757421830044,0.4377967119216919,0.9584278426353894,0.3045840263366699,1.6890454456410566,0.4891170263290405,2.0333780731949003,-0.444866418838501,243.83121243239142,0.7282347679138184,79.76217089729943
VanillaRNN,with_Ct,Phase 1,33,0.9690479636192322,174.15873686094534,-0.9771052598953247,1.024388984831425,-1.7563700675964355,1.3630219570918607,-1.4005088806152344,2.62753509541601,-2.4037628173828125,387.10942009333746,-11.450078964233398,42.34187034573461
VanillaRNN,with_Ct,Phase 2,89,0.9677810072898865,138.0566431532724,0.3193207383155823,1.1767464664909455,0.17821073532104492,1.9480505368611563,0.3162505626678467,2.548557778706186,-0.2986568212509155,304.74693651044305,-10.243730545043945,49.15101241566012
VanillaRNN,with_Ct,Phase 3,60,0.9842175245285034,81.45502977103378,-4.173575401306152,0.7685375090524776,-5.207945823669434,1.4258691211952794,-5.8998003005981445,2.2167974127546155,-6.432748794555664,134.6449323684334,0.30369120836257935,122.62875488007492
VanillaRNN,with_Ct,Phase 4,100,0.9773390293121338,77.7518965805658,0.18113553524017334,1.1566946360388097,0.09817224740982056,1.9234495458527847,-0.12882530689239502,3.0225311419047745,0.4056107997894287,156.39068666324093,0.7541828155517578,75.85882949082955
VanillaRNN,without_Ct,Phase 1,33,0.9570741653442383,205.09725208422466,-40.26096725463867,4.679718272214664,-52.505489349365234,6.005280078769257,-25.04762840270996,8.655276908301374,-3.7040300369262695,455.0814487539566,-20.474742889404297,55.60937060972166
VanillaRNN,without_Ct,Phase 2,89,0.9581313133239746,157.3787293541443,-7.485125541687012,4.154710527566403,-4.416686534881592,5.001345262752398,-6.03841495513916,8.176800674768973,-0.7092418670654297,349.61810638538157,-5.973654747009277,38.708599986186854
